Best Price,Per Amount,Single Price,Product Name,Link,Category,Varietal,Size,Standard Drinks,Alcohol Volume,Country,Brand Name,Closure,Whisky Style,Age,Region,Current Vintage,State,Wine Style,Vegan Friendly,Beer Style,Organic,Food Match,Wine Maker,Spirit Style,Wine Body,Cellar Release,Cider Style,Langtons Classified
$11.39 ,1,$11.39 ,Clasico 1872 Cava,https://www.danmurphys.com.au/product/DM_339472/codorn-u-clasico-1872-cava,Cava,,750mL,6.8,11.50%,Spain,Codorníu,Cork,,,,Non Vintage*,,Dry,,,,,,,,,,
$13.29 ,1,$13.29 ,Carta Nevada Semi Dry Cava,https://www.danmurphys.com.au/product/DM_887195/freixenet-carta-nevada-semi-dry-cava,Cava,Cava,750mL,6.8,11.50%,Spain,Freixenet,Cork,,,,Non Vintage*,,Dry,,,,,,,,,,
$13.30 ,6,$13.30 ,Cordon Negro Brut Cava,https://www.danmurphys.com.au/product/DM_6301/freixenet-cordon-negro-brut-cava,Cava,Parellada Macabeo Xarel·lo,750mL,6.8,11.50%,Spain,Freixenet,Cork,,,Penedes,Non Vintage,,Dry,,,,,Josep Bujan,,,,,
$23.80 ,1,$23.80 ,Elyssia Gran Cuvée Brut Cava,https://www.danmurphys.com.au/product/DM_764140/freixenet-elyssia-gran-cuv-e-brut-cava,Cava,,750mL,7.1,13%,Spain,Freixenet,Cork,,,,Non Vintage,,Dry,,,,,,,,,,
$16.20 ,1,$16.20 ,Vintage Reserva Brut Cava,https://www.danmurphys.com.au/product/DM_764899/freixenet-vintage-reserva-brut-cava,Cava,Cava,750mL,6.8,11.50%,Spain,Freixenet,Cork,,,,2016*,,Dry,,,,,,,,,,
$13.75 ,12,$27.50 ,Cava Brut 750mL x 6,https://www.danmurphys.com.au/product/DM_ER_2000003482_NVMACSPAJSC06/jaume-serra-cava-brut-750ml-x-6,Cava,Cava,750mL,7,11%,Spain,Jaume Serra,Stopper,,,,Non Vintage,,Dry,,,,Seafood,,,,,,
$27.08 ,1,$27.08 ,Cinta Pú Brut Reserva Cava 2009 375mL,https://www.danmurphys.com.au/product/DM_ER_1000002988_1957/juv-y-camps-cinta-p-brut-reserva-cava-2009-375ml,Cava,Cava,375mL,3.6,12%,Spain,Juvé y Camps,Cork,,,Penedès,2009,,Dry,,,,,,,,,,
$17.95 ,1,$17.95 ,Viudas Aria Brut Cava NV,https://www.danmurphys.com.au/product/DM_ER_1000007661_SVARICAVNVS/segura-viudas-aria-brut-cava-nv,Cava,,750mL,7.1,12,Spain,Segura,Cork,,,,,,,,,,,,,,,,
$42.75 ,1,$42.75 ,Brut Reserva Heredad Cava,https://www.danmurphys.com.au/product/DM_908659/segura-viudas-brut-reserva-heredad-cava,Cava,Cava,750mL,7.1,14%,Spain,Segura Viudas,Cork,,,,Non Vintage,,Dry,,,,,,,,,,
NO ITEM PRICE,NO ITEM PRICE,NO ITEM PRICE,Reserve Heredad Cava 1.5L,https://www.danmurphys.com.au/product/DM_554223/segura-viudas-reserve-heredad-cava-1-5l,Cava,,1.5L,14.2,12%,Spain,Segura Viudas,Cork,,,,Non Vintage,,Dry,,,,,,,,,,
